,Cutoff,Epoch,mean_spearman
1,1,89,0
2,2,85,0.00112943494846907
3,3,84,0.000895536494480598
4,4,95,0.00167001134170741
5,5,78,-0.00036955386327564
6,6,81,0.00160064843329044
7,7,91,0.00197822630360256
8,8,80,0.00165218610794693
9,9,84,0.00292886144720672
10,10,87,0.00386279518990262
11,11,92,0.00273513125242741
12,12,81,0.00404650715560972
13,13,76,0.00251747446725725
14,14,98,0.00565971674058652
15,15,88,0.00324768238934003
16,16,85,0.00530646120371037
17,17,76,0.00563782193747087
18,18,88,0.00609470832166603
19,19,85,0.00568146391630686
20,20,87,0.00511328701023406
21,21,89,0.00642904852606685
22,22,95,0.00713696880069936
23,23,86,0.00475023012784748
24,24,82,0.00376348067964938
25,25,93,0.00406213442925563
26,26,79,0.00440159032897969
27,27,89,0.00532400747733497
28,28,75,0.00518296195027113
29,29,84,0.00375850713055093
30,30,88,0.00737318694635658
31,31,85,0.00774364737233646
32,32,83,0.00408995376454158
33,33,81,0.00593241511664244
34,34,85,0.00667458466295867
35,35,79,0.00612125344646597
36,36,89,0.00527190381695997
37,37,82,0.00555363099270711
38,38,86,0.00617428815656051
39,39,85,0.00576628102074306
40,40,93,0.0045180048240332
41,41,87,0.00469778633260676
42,42,96,0.00690453108693134
43,43,73,0.0061538122502619
44,44,82,0.00458606161262221
45,45,93,0.00561802305506831
46,46,98,0.00625793657317841
47,47,87,0.00366007124633416
48,48,99,0.00366729722687276
49,49,89,0.00461657264740289
50,50,97,0.00514390458589398
51,51,93,0.00498080044014804
52,52,81,0.00508715836019125
53,53,87,0.00501754525717235
54,54,95,0.00436538654117624
55,55,90,0.00508441120330416
56,56,77,0.00500767558566162
57,57,86,0.00610482847602611
58,58,80,0.00459161872281477
59,59,95,0.00640420998128222
60,60,86,0.00347253795837421
61,61,85,0.00252736687267574
62,62,94,0.00522224658508552
63,63,80,0.0036714980109126
64,64,81,0.00552879595343758
65,65,90,0.00422829860417928
66,66,92,0.00300104194317563
67,67,86,0.00254215397368973
68,68,97,0.00250601409415996
69,69,88,0.00426869753263537
70,70,93,0.00344154794809137
71,71,90,0.0029067528443536
72,72,75,0.00268994055194594
73,73,87,0.00321928961157925
74,74,86,0.00475845548482456
75,75,90,-0.000253891476052037
76,76,79,0.00180311825219659
77,77,82,0.00490523419231959
78,78,90,0.000318716791333329
79,79,86,0.0012994309842651
80,80,95,0.00139200888608737
81,81,89,0.00215641898057495
82,82,94,0.0013424724460106
83,83,81,0.00327990911997145
84,84,85,0.0027507093116711
85,85,84,0.00361821132853146
86,86,91,0.0024256589187035
87,87,83,0.00289501350863219
88,88,95,0.00101977408238574
89,89,91,-0.00216990942458395
90,90,86,0.000502358946746106
91,91,85,0.00155196944116587
92,92,89,0.00349014247430346
93,93,94,-2.91135644405749e-05
94,94,79,-0.00162103338144182
95,95,80,-0.000559967499874636
96,96,77,-0.00140135659691987
97,97,83,-0.00240862502689065
98,98,94,-0.00223551198793148
99,99,83,-0.00125745334485095
100,100,96,-0.00201120813192768
